trialIndex,stepIndex,timeClock,meanFitness
0,1,0.998807,1.00014
0,2,2.016053,1.00026
0,3,3.017179,1.00038
0,4,4.019577,1.00061
0,5,5.021896,1.00073
0,6,6.013525,1.00082
0,7,7.015677,1.00093
0,8,8.012793,1.00091
0,9,9.015396,1.00103
0,10,10.010902,1.00127
0,11,11.010718,1.00157
0,12,11.998983,1.0017
0,13,12.992542,1.002
0,14,13.999643,1.00195
0,15,14.999501,1.00216
0,16,15.988573,1.00225
0,17,17.004274,1.00253
0,18,18.005504,1.0031
0,19,18.988153,1.00349
0,20,20.000552,1.00345
0,21,21.007677,1.00404
0,22,22.013181,1.00424
0,23,23.023638,1.00437
0,24,24.031925,1.0046
0,25,25.024185,1.00502
0,26,26.018541,1.00545
0,27,27.016069,1.00595
0,28,28.017834,1.00654
0,29,29.034832,1.00733
0,30,30.038535,1.00694
0,31,31.027528,1.00714
0,32,32.011691,1.00792
0,33,32.993783,1.00821
0,34,33.97718,1.00862
0,35,34.970395,1.00835
0,36,35.971084,1.00876
0,37,36.950262,1.00889
0,38,37.947256,1.00947
0,39,38.934911,1.00994
0,40,39.92484,1.01062
0,41,40.919676,1.01171
0,42,41.91766,1.01236
0,43,42.908685,1.01294
0,44,43.896042,1.01302
0,45,44.857823,1.01359
0,46,45.865301,1.0142
0,47,46.849325,1.01449
0,48,47.824281,1.01447
0,49,48.797619,1.01485
0,50,49.789148,1.01588
0,51,50.77464,1.01648
0,52,51.771614,1.01759
0,53,52.74213,1.018
0,54,53.714736,1.01829
0,55,54.689418,1.01918
0,56,55.670504,1.01934
0,57,56.65682,1.0203
0,58,57.658923,1.02102
0,59,58.633298,1.0226
0,60,59.614635,1.02323
0,61,60.607551,1.02398
0,62,61.565436,1.02485
0,63,62.530391,1.02611
0,64,63.501632,1.02726
0,65,64.47702,1.02858
0,66,65.453368,1.02935
0,67,66.441497,1.03012
0,68,67.424465,1.031
0,69,68.397315,1.03153
0,70,69.378678,1.03216
0,71,70.350643,1.034
0,72,71.326674,1.03464
0,73,72.290709,1.03539
0,74,73.256292,1.03641
0,75,74.22364,1.03719
0,76,75.180315,1.03861
0,77,76.148043,1.03893
0,78,77.099575,1.03902
0,79,78.047724,1.03933
0,80,79.007652,1.03989
0,81,79.965118,1.04088
0,82,80.947725,1.0417
0,83,81.902907,1.04314
0,84,82.869437,1.04386
0,85,83.827251,1.04345
0,86,84.79603,1.04443
0,87,85.745941,1.04561
0,88,86.680861,1.04616
0,89,87.639434,1.0467
0,90,88.608095,1.0473
0,91,89.581759,1.04776
0,92,90.518625,1.049
0,93,91.476192,1.05001
0,94,92.424851,1.05094
0,95,93.37364,1.05221
0,96,94.331145,1.05329
0,97,95.284661,1.05561
0,98,96.244242,1.05624
0,99,97.218759,1.05845
0,100,98.165306,1.05887
0,101,99.119525,1.05956
0,102,100.044374,1.06041
0,103,100.983314,1.06112
0,104,101.912487,1.06196
0,105,102.850947,1.06323
0,106,103.787996,1.06401
0,107,104.716763,1.06555
0,108,105.670251,1.06566
0,109,106.620541,1.06685
0,110,107.561349,1.06735
0,111,108.494798,1.06903
0,112,109.431478,1.07055
0,113,110.369217,1.07146
0,114,111.31478,1.07284
0,115,112.242282,1.07355
0,116,113.170976,1.07422
0,117,114.095948,1.07502
0,118,115.032064,1.07569
0,119,115.953311,1.07616
0,120,116.881978,1.07694
0,121,117.800018,1.07764
0,122,118.736619,1.07828
0,123,119.663781,1.07962
0,124,120.575639,1.08051
0,125,121.500221,1.08069
0,126,122.434739,1.08119
0,127,123.359645,1.08145
0,128,124.294627,1.08252
0,129,125.223309,1.08279
0,130,126.145903,1.08298
0,131,127.069266,1.08375
0,132,128.001953,1.08416
0,133,128.927802,1.08533
0,134,129.832819,1.08607
0,135,130.758434,1.08707
0,136,131.684426,1.08785
0,137,132.59701,1.08841
0,138,133.511373,1.08901
0,139,134.416514,1.08944
0,140,135.33159,1.08977
0,141,136.238988,1.08963
0,142,137.167154,1.08985
0,143,138.072764,1.09036
0,144,138.983142,1.09078
0,145,139.892564,1.09116
0,146,140.803355,1.0917
0,147,141.732396,1.09256
0,148,142.661165,1.09281
0,149,143.572819,1.09302
0,150,144.475041,1.09285
0,151,145.399407,1.09296
0,152,146.307107,1.09301
0,153,147.229273,1.09345
0,154,148.137307,1.09383
0,155,149.051559,1.09427
0,156,149.966552,1.09448
0,157,150.88018,1.09482
0,158,151.789066,1.09469
0,159,152.702027,1.09495
0,160,153.615566,1.09499
0,161,154.530947,1.09564
0,162,155.43457,1.09559
0,163,156.348325,1.09558
0,164,157.250889,1.09564
0,165,158.16993,1.09611
0,166,159.083083,1.09629
0,167,159.980695,1.09677
0,168,160.880304,1.09653
0,169,161.781763,1.09685
0,170,162.692005,1.09661
0,171,163.618253,1.09684
0,172,164.524513,1.09706
0,173,165.450695,1.09717
0,174,166.353808,1.09736
0,175,167.265756,1.09774
0,176,168.183629,1.09783
0,177,169.10597,1.09771
0,178,170.025663,1.09816
0,179,170.94748,1.09849
0,180,171.850772,1.09889
0,181,172.761994,1.0989
0,182,173.666975,1.09908
0,183,174.569371,1.09909
0,184,175.48336,1.09897
0,185,176.392951,1.09912
0,186,177.306943,1.09932
0,187,178.223264,1.09927
0,188,179.131143,1.0994
0,189,180.042683,1.09949
0,190,180.95334,1.09942
0,191,181.869501,1.09943
0,192,182.789521,1.09948
0,193,183.70063,1.09951
0,194,184.616729,1.0993
0,195,185.534112,1.09921
0,196,186.43573,1.0991
0,197,187.326213,1.09926
0,198,188.225351,1.09932
0,199,189.144981,1.09944
0,200,190.060964,1.09968
0,201,190.963651,1.09977
0,202,191.8799,1.09972
0,203,192.801981,1.09963
0,204,193.693723,1.09963
0,205,194.603571,1.09961
0,206,195.529496,1.09961
0,207,196.431759,1.09963
0,208,197.331721,1.09963
0,209,198.225203,1.09963
0,210,199.127164,1.09968
0,211,200.044339,1.09965
0,212,200.945531,1.09968
0,213,201.84756,1.09967
0,214,202.773223,1.09973
0,215,203.686586,1.09983
0,216,204.612177,1.09981
0,217,205.511669,1.09986
0,218,206.432255,1.09986
0,219,207.333487,1.09982
0,220,208.230867,1.0998
0,221,209.147516,1.09984
0,222,210.06884,1.09987
0,223,210.982651,1.09982
0,224,211.908651,1.09988
0,225,212.804552,1.09982
0,226,213.723804,1.09986
0,227,214.633343,1.09978
0,228,215.554768,1.09983
0,229,216.457464,1.09981
0,230,217.378301,1.09976
0,231,218.284391,1.09975
0,232,219.179585,1.09985
0,233,220.096993,1.09986
0,234,221.019996,1.09983
0,235,221.932526,1.09987
0,236,222.843553,1.09988
0,237,223.745856,1.09991
1,1,0.998423,1.0001
1,2,1.985422,1.0002
1,3,2.977332,1.00037
1,4,3.971214,1.00047
1,5,4.973715,1.0006
1,6,5.972479,1.00077
1,7,6.987393,1.00087
1,8,7.981813,1.00112
1,9,8.983294,1.00119
1,10,9.984647,1.00125
1,11,10.980332,1.00169
1,12,11.959566,1.00177
1,13,12.963176,1.00225
1,14,13.970902,1.00236
1,15,14.946602,1.00245
1,16,15.953609,1.00291
1,17,16.948973,1.00332
1,18,17.951525,1.00371
1,19,18.946463,1.00378
1,20,19.949736,1.00394
1,21,20.949781,1.00422
1,22,21.952069,1.00463
1,23,22.947837,1.00478
1,24,23.919857,1.00521
1,25,24.927837,1.00533
1,26,25.9334,1.00526
1,27,26.902373,1.00526
1,28,27.903386,1.0057
1,29,28.883551,1.00602
1,30,29.86994,1.00595
1,31,30.88569,1.00676
1,32,31.882245,1.00731
1,33,32.876404,1.00742
1,34,33.855883,1.00817
1,35,34.841589,1.00852
1,36,35.82845,1.00891
1,37,36.823682,1.00931
1,38,37.79697,1.01005
1,39,38.774359,1.01059
1,40,39.780206,1.01107
1,41,40.779134,1.01153
1,42,41.768769,1.01208
1,43,42.769764,1.01238
1,44,43.755026,1.01287
1,45,44.727234,1.01327
1,46,45.727224,1.0137
1,47,46.708177,1.01439
1,48,47.691288,1.0151
1,49,48.677433,1.01562
1,50,49.665004,1.0172
1,51,50.645098,1.01784
1,52,51.623155,1.01816
1,53,52.60687,1.01886
1,54,53.584944,1.01938
1,55,54.565567,1.01967
1,56,55.554729,1.02057
1,57,56.536804,1.02165
1,58,57.51013,1.02242
1,59,58.490986,1.02315
1,60,59.459179,1.02375
1,61,60.448495,1.02465
1,62,61.441956,1.02533
1,63,62.416682,1.02578
1,64,63.387578,1.02681
1,65,64.364775,1.0274
1,66,65.348685,1.02803
1,67,66.330675,1.02907
1,68,67.322236,1.0299
1,69,68.29007,1.03045
1,70,69.257983,1.03151
1,71,70.244385,1.03199
1,72,71.218031,1.0328
1,73,72.176049,1.0339
1,74,73.149483,1.03443
1,75,74.113302,1.03426
1,76,75.068573,1.03555
1,77,76.044867,1.0364
1,78,77.010288,1.037
1,79,77.974421,1.03738
1,80,78.94094,1.03797
1,81,79.922575,1.03864
1,82,80.89093,1.0392
1,83,81.845118,1.03919
1,84,82.819744,1.03976
1,85,83.782443,1.04044
1,86,84.748249,1.04066
1,87,85.705681,1.04134
1,88,86.657412,1.04192
1,89,87.625672,1.04302
1,90,88.596805,1.04524
1,91,89.550015,1.04591
1,92,90.521445,1.04713
1,93,91.478255,1.04833
1,94,92.418918,1.04941
1,95,93.363145,1.05029
1,96,94.322482,1.05086
1,97,95.281508,1.05182
1,98,96.231681,1.05317
1,99,97.189677,1.05438
1,100,98.132792,1.05463
1,101,99.072609,1.05478
1,102,100.017457,1.05496
1,103,100.950551,1.05654
1,104,101.8968,1.05667
1,105,102.842918,1.05738
1,106,103.768058,1.05793
1,107,104.702939,1.05893
1,108,105.659835,1.06026
1,109,106.595712,1.06147
1,110,107.554922,1.06266
1,111,108.49861,1.06306
1,112,109.424238,1.06441
1,113,110.353125,1.06507
1,114,111.305644,1.06507
1,115,112.241442,1.06637
1,116,113.160025,1.06795
1,117,114.098561,1.06851
1,118,115.023263,1.06942
1,119,115.958338,1.06986
1,120,116.910067,1.07086
1,121,117.848429,1.07121
1,122,118.788855,1.07205
1,123,119.703973,1.0722
1,124,120.649723,1.07322
1,125,121.590783,1.07433
1,126,122.514094,1.07582
1,127,123.429732,1.07662
1,128,124.364347,1.07656
1,129,125.296187,1.07742
1,130,126.242744,1.0782
1,131,127.159636,1.07952
1,132,128.08236,1.08029
1,133,129.010374,1.08055
1,134,129.946547,1.08126
1,135,130.85657,1.08174
1,136,131.776861,1.08222
1,137,132.705641,1.08262
1,138,133.624227,1.08318
1,139,134.567274,1.08297
1,140,135.487689,1.0827
1,141,136.414774,1.08324
1,142,137.334675,1.08436
1,143,138.274535,1.08464
1,144,139.189583,1.08457
1,145,140.115628,1.08479
1,146,141.031631,1.08522
1,147,141.958993,1.08596
1,148,142.887624,1.08689
1,149,143.811627,1.08726
1,150,144.718179,1.0879
1,151,145.634042,1.08858
1,152,146.552507,1.08851
1,153,147.472677,1.08911
1,154,148.377723,1.08996
1,155,149.297733,1.08991
1,156,150.210561,1.09041
1,157,151.132533,1.09048
1,158,152.033853,1.09125
1,159,152.940996,1.09131
1,160,153.872423,1.09194
1,161,154.791758,1.09243
1,162,155.697769,1.0928
1,163,156.612803,1.09265
1,164,157.544876,1.09325
1,165,158.45547,1.09374
1,166,159.377795,1.09399
1,167,160.303926,1.09405
1,168,161.216818,1.09438
1,169,162.122333,1.09431
1,170,163.029143,1.09474
1,171,163.936045,1.09475
1,172,164.859274,1.09542
1,173,165.779872,1.0955
1,174,166.679057,1.09572
1,175,167.592228,1.09585
1,176,168.494131,1.0959
1,177,169.418718,1.09645
1,178,170.332204,1.09665
1,179,171.242114,1.09669
1,180,172.150566,1.09673
1,181,173.067476,1.09701
1,182,173.987395,1.09731
1,183,174.900678,1.09772
1,184,175.816212,1.09796
1,185,176.721642,1.09806
1,186,177.632472,1.09806
1,187,178.552495,1.09807
1,188,179.463391,1.09831
1,189,180.370408,1.09844
1,190,181.280866,1.09855
1,191,182.19026,1.09872
1,192,183.10473,1.09866
1,193,184.005848,1.09857
1,194,184.916747,1.09858
1,195,185.818229,1.09864
1,196,186.73524,1.09855
1,197,187.648115,1.09851
1,198,188.569326,1.09879
1,199,189.47934,1.09899
1,200,190.394171,1.09901
1,201,191.284714,1.09898
1,202,192.206143,1.099
1,203,193.12901,1.09884
1,204,194.052046,1.09881
1,205,194.965064,1.09887
1,206,195.873295,1.09895
1,207,196.780271,1.09901
1,208,197.682118,1.09893
1,209,198.59409,1.09901
1,210,199.515164,1.09903
1,211,200.426861,1.09918
1,212,201.33027,1.09918
1,213,202.228391,1.09929
1,214,203.144692,1.09935
1,215,204.069482,1.09932
1,216,204.993345,1.0994
1,217,205.882766,1.09954
1,218,206.782501,1.09958
1,219,207.701195,1.09957
1,220,208.620876,1.09968
1,221,209.51677,1.09976
